Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
12543,Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,"Lamott, Anne",,"=""0385480016""","=""9780385480017""",0,4.23,Anchor,Paperback,237,1995,1994,,2019/03/07,"to-read, learning, nonfiction, self-help","to-read (#479), learning (#86), nonfiction (#304), self-help (#14)",to-read,,,,0,,,0,,,,,
5379559,Fatally Flawed - The Quest to be Deepest,Verna van Schaik,"Schaik, Verna van",,"=""0620404728""","=""9780620404723""",0,3.88,Liquid Edge Publishing,Paperback,200,2011,2008,,2018/11/16,"to-read, diving, history, island, nonfiction, ocean, recommended","to-read (#467), diving (#24), history (#130), island (#36), nonfiction (#285), ocean (#55), recommended (#11)",to-read,,,,0,,,0,,,,,
26856502,"Vengeful (Villains, #2)",V.E. Schwab,"Schwab, V.E.",,"=""""","=""""",0,4.23,Tor,Kindle Edition,462,2018,2018,,2018/12/23,"to-read, award-winning, fantasy, fiction, highly-recommended, young-adult","to-read (#474), award-winning (#54), fantasy (#25), fiction (#414), highly-recommended (#139), young-adult (#38)",to-read,,,,0,,,0,,,,,
29069989,"Harry Potter and the Cursed Child, Parts 1 & 2",John Tiffany,"Tiffany, John","Jack Thorne, J.K. Rowling","=""1338099132""","=""9781338099133""",4,3.62,Arthur A. Levine Books,Hardcover,309,2016,2016,2016/08/22,2016/08/21,"kindle, fiction, fantasy, young-adult","kindle (#82), fiction (#316), fantasy (#13), young-adult (#37)",read,,,,1,,,0,,,,,
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",2,4.33,Scholastic Press,Hardcover,374,2008,2008,2014/04/25,2014/02/09,"fiction, made-into-movie, young-adult","fiction (#11), made-into-movie (#5), young-adult (#36)",read,,,,1,,,0,,,,,
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",2,4.21,Dutton Books,Hardcover,313,2012,2012,2014/07/12,2014/02/09,"top-100-lifetime, fiction, kindle, made-into-movie, young-adult","top-100-lifetime (#24), fiction (#86), kindle (#22), made-into-movie (#77), young-adult (#35)",read,,,,1,,,0,,,,,
902,The Westing Game,Ellen Raskin,"Raskin, Ellen",,"=""014240120X""","=""9780142401200""",4,4.02,Puffin,Paperback,182,2004,1978,2014/07/27,2014/02/09,"bedroom, fiction, young-adult","bedroom (#12), fiction (#227), young-adult (#34)",read,,,,1,,,0,,,,,
3980,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,"Konigsburg, E.L.",,"=""0744583276""","=""9780744583274""",3,4.15,Walker Books Ltd,Paperback,178,2003,1967,2014/07/27,2014/02/09,"bedroom, fiction, young-adult","bedroom (#6), fiction (#222), young-adult (#33)",read,,,,1,,,0,,,,,
307791,"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,"DuPrau, Jeanne",,"=""0375822747""","=""9780375822742""",4,3.86,Random House Children's Books,Paperback,288,2003,2003,2014/07/29,2014/02/09,"fiction, bedroom, young-adult","fiction (#63), bedroom (#3), young-adult (#32)",read,,,,1,,,0,,,,,
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,"=""0679879242""","=""9780679879244""",5,3.99,Alfred A. Knopf Books for Young Readers,Hardcover,399,1996,1995,2015/04/12,2014/02/09,"bedroom, fiction, made-into-movie, kindle, bbc, science-fiction, favorites, young-adult","bedroom (#10), fiction (#225), made-into-movie (#69), kindle (#24), bbc (#71), science-fiction (#13), favorites (#10), young-adult (#30)",read,,,,1,,,1,,,unspecified,,
119324,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,"Pullman, Philip",,"=""0679879250""","=""9780679879251""",4,4.13,Alfred A. Knopf Books for Young Readers,Hardcover,326,1997,1997,2015/04/17,2014/12/18,"bedroom, fiction, kindle, bbc, science-fiction, young-adult","bedroom (#11), fiction (#226), kindle (#30), bbc (#72), science-fiction (#14), young-adult (#29)",read,,,,1,,,0,,,,,
18122,"The Amber Spyglass  (His Dark Materials, #3)",Philip Pullman,"Pullman, Philip",,"=""0440238153""","=""9780440238157""",4,4.09,Laurel Leaf,Mass Market Paperback,467,2003,2000,2015/04/19,2015/04/17,"bedroom, fiction, kindle, bbc, science-fiction, young-adult","bedroom (#17), fiction (#237), kindle (#15), bbc (#73), science-fiction (#15), young-adult (#28)",read,,,,1,,,0,,,,,
1934,Little Women,Louisa May Alcott,"Alcott, Louisa May",,"=""0451529308""","=""9780451529305""",4,4.08,Signet Classics,Paperback,449,2004,1868,2015/05/01,2014/02/09,"top-100-lifetime, fiction, classics, kindle, bbc, young-adult","top-100-lifetime (#7), fiction (#33), classics (#5), kindle (#1), bbc (#75), young-adult (#27)",read,,,,1,,,0,,,,,
34948440,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"Black, Holly",,"=""""","=""""",3,4.13,"Little, Brown Books for Young Readers",Kindle Edition,384,2018,2018,2018/04/14,2018/04/06,"fantasy, fiction, kindle, young-adult","fantasy (#2), fiction (#379), kindle (#276), young-adult (#26)",read,"This was my first fantasy book in a long time. It was hard for me to get back into reading about faeries and magic at first, but once I got over my personal mental block, I enjoyed the story. It was interesting to me to see how the fantasy genre has evolved since I was a kid. I think contemporary young adult books are good to read occasionally because they are a reflection of the current cultural norms and values. There are many underpinned themes of cultural and personal differences and acceptance of those who are not like yourself... too many themes. I wanted the author to pick one and stick to it. It was difficult to get in to, however by halfway through enough interesting plot points were happening and it tended towards being more action-packed that I continued. It had the plot but not quite the character development and complexity that I wanted in a story like this. Really, it just made me want to read Harry Potter again... (so I did).",,,1,,,0,,,,,
10808486,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"L'Engle, Madeleine",,"=""""","=""""",3,4.00," Farrar, Straus and Giroux",Kindle Edition,228,2010,1962,2018/05/09,2014/02/09,"top-100-lifetime, fiction, banned, award-winning, kindle, made-into-movie, fantasy, science-fiction, young-adult","top-100-lifetime (#13), fiction (#36), banned (#14), award-winning (#26), kindle (#101), made-into-movie (#104), fantasy (#14), science-fiction (#53), young-adult (#18)",read,"This book was much too short for the themes it was developing- I felt like the author didn’t properly write to her audience. I suppose the rest of the series might tie everything together but I think that each book in a series should also stand well alone. It seems on the surface to be a great introduction for children to quantum science wrapped up in an adventure story. As the book progresses, however, the religious overtones take over and don’t mesh well with the science fiction themes. I remember as a child wanting so much to like this book but just thinking that it was weird and incoherent, and not much has changed.",,,1,,,0,,,,,
24390078,"Illuminae (The Illuminae Files, #1)",Amie Kaufman,"Kaufman, Amie",Jay Kristoff,"=""""","=""""",4,4.29,Knopf Books for Young Readers,Kindle Edition,608,2015,2015,2018/06/05,2018/05/15,"award-winning, fiction, science-fiction, kindle, space, young-adult","award-winning (#41), fiction (#388), science-fiction (#54), kindle (#281), space (#49), young-adult (#16)",read,"I wanted so badly to love this book. The ideas were great but the execution was poor- it felt very forced most of the time. The construction of the book as a dossier of letters and records is innovative and interesting, the plot was good and developed pretty well, and there are some interesting science fiction themes going on; however, it felt artificially constructed and didn’t all flow together well. The pages with text winding in artistic ways was probably cool in the paper book but came across poorly in the kindle version- it was difficult to read. Maybe sometime I’ll give this book another chance.",,,1,,,0,,,,,
6495605,Lord of the Flies,William Golding,"Golding, William",Stephen King,"=""""","=""""",4,3.68,Perigee,Paperback,285,2011,1954,2018/10/24,2014/02/09,"top-100-lifetime, fiction, classics, bbc, kindle, young-adult","top-100-lifetime (#12), fiction (#7), classics (#54), bbc (#36), kindle (#151), young-adult (#14)",read,,,,1,,,0,,,,,
40874032,"Vicious (Villains, #1)",V.E. Schwab,"Schwab, V.E.",,"=""""","=""""",5,4.23,Tor Books,Kindle Edition,366,2013,2013,2018/12/22,2018/11/17,"fantasy, fiction, kindle, young-adult","fantasy (#18), fiction (#405), kindle (#305), young-adult (#12)",read,"I have to admit I didn’t think I would enjoy this book. The hype from some YA readers I follow was a little too strong, but the story held its own. The premise is unique and thought-provoking. The non-linear timeline is easy to follow and keeps the plot interesting, providing background detail exactly when you need it in the main story arc. Can’t wait to see what happens to the characters in Vengeful!",,,1,,,0,,,,,
35504431,Turtles All the Way Down,John Green,"Green, John",,"=""0525555366""","=""9780525555360""",4,3.95,Dutton Books for Young Readers,Hardcover,286,2017,2017,2019/01/05,2018/04/10,"fiction, emotional, library, young-adult","fiction (#382), emotional (#14), library (#4), young-adult (#11)",read,"I love the bold, bare address of mental health- from the inside as well as the honest and difficult conversations with loved ones. The driving plotline was not relatable as a common high school experience, so much of the events felt forced .",,,1,,,0,,,,,
