Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9667124,The Emperor of All Maladies,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""""","=""""",4,4.33,Scribner,Kindle Edition,592,2010,2010,2019/08/29,2014/06/04,"science, library, biology, nonfiction, award-winning, history-of-science, review","science (#36), library (#52), biology (#91), nonfiction (#286), award-winning (#70), history-of-science (#70), review (#57)",read,,,,1,0
22535480,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301268""","=""9780062301260""",5,4.16,Ecco,ebook,416,2015,2015,2015/09/06,2015/05/12,"nonfiction, biography, science, space, kindle","nonfiction (#84), biography (#18), science (#79), space (#15), kindle (#343)",read,,,,1,0
18222705,"Deep: Freediving, Renegade Science, and What the Ocean Tells Us about Ourselves",James Nestor,"Nestor, James",,"=""0547985525""","=""9780547985527""",4,4.45,Eamon Dolan/Houghton Mifflin Harcourt,Hardcover,272,2014,2014,2020/10/22,2014/11/22,"diving, nonfiction, ocean, science, biology, library, review","diving (#7), nonfiction (#18), ocean (#22), science (#46), biology (#105), library (#199), review (#56)",read,,,,1,0
18222694,Proof: The Science of Booze,Adam   Rogers,"Rogers, Adam",,"=""0547897960""","=""9780547897967""",4,3.92,Houghton Mifflin Harcourt,Hardcover,272,2014,2014,2020/11/14,2014/11/22,"biology, nonfiction, science, library, cooking, history-of-science, review","biology (#27), nonfiction (#17), science (#45), library (#54), cooking (#6), history-of-science (#78), review (#55)",read,,,,1,0
91842,Dr. Tatiana's Sex Advice to All Creation: The Definitive Guide to the Evolutionary Biology of Sex,Olivia Judson,"Judson, Olivia",,"=""0099283751""","=""9780099283751""",4,4.06,Vintage,Paperback,320,2003,2002,2014/09/23,2014/09/14,"biology, nonfiction, science, review","biology (#25), nonfiction (#10), science (#221), review (#54)",read,,,,1,0
26073085,White Rage: The Unspoken Truth of Our Racial Divide,Carol  Anderson,"Anderson, Carol",,"=""1632864126""","=""9781632864123""",5,4.47,Bloomsbury USA,Hardcover,246,2016,2016,2020/07/06,2020/06/06,"diversity, history, library, nonfiction, review","diversity (#18), history (#151), library (#158), nonfiction (#320), review (#50)",read,,,,1,0
35883430,I'm Still Here: Black Dignity in a World Made for Whiteness,Austin Channing Brown,"Brown, Austin Channing",,"=""""","=""""",5,4.38,Convergent Books,Hardcover,185,2018,2018,2020/07/02,2020/06/08,"audio, biography, diversity, library, nonfiction, review","audio (#30), biography (#94), diversity (#19), library (#159), nonfiction (#321), review (#51)",read,,,,1,0
39934,Reading Like a Writer: A Guide for People Who Love Books and for Those Who Want to Write Them,Francine Prose,"Prose, Francine",,"=""0060777052""","=""9780060777050""",4,3.77,Harper Perennial,Paperback,302,2007,2006,2020/07/04,2020/06/17,"books-about-books, library, nonfiction, review","books-about-books (#13), library (#161), nonfiction (#322), review (#52)",read,,,,1,0
28439264,Spaceman: An Astronaut's Unlikely Journey to Unlock the Secrets of the Universe,Mike Massimino,"Massimino, Mike",,"=""1101903554""","=""9781101903551""",5,4.54,Crown Archetype,ebook,320,2016,2016,2020/11/19,2019/07/02,"biography, library, nonfiction, science, space, favorites, want-to-own, review","biography (#79), library (#71), nonfiction (#280), science (#181), space (#52), favorites (#56), want-to-own (#7), review (#49)",read,,,,1,0
35696171,"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,"Pinker, Steven",,"=""0525427570""","=""9780525427575""",5,4.20,Viking,Hardcover,576,2018,2018,2019/02/02,2018/05/27,"history, nonfiction, philosophy, library, review","history (#102), nonfiction (#219), philosophy (#23), library (#7), review (#48)",read,Probably the most thoroughly researched and best written book I’ve ever read. Full of data and solid arguments for optimism concerning the current state of the world.<br/>Unfortunately I borrowed this book from the library so was not able to spend as much digesting it as I should have. Very dense and difficult to read quickly. ,,,1,0
